organization_id,org_name,state,county,counties,place,platform,platform_org_id,likely_school_district,include_in_rollout,notes
,Banks School District,OR,Washington County,,,boardbook,2613,True,True,
,Bannockburn School District 106,IL,Lake County,,,boardbook,1248,True,True,
,Banquete ISD,TX,Nueces County,,,boardbook,1705,True,True,
,Barbers Hill Independent School District,TX,Chambers County,,,boardbook,1110,True,True,
,Barnesville Public Schools,MN,Clay County,,,boardbook,1533,True,True,
,Bartlett ISD,TX,Bell County,,,boardbook,1020,True,True,
,Bastrop Independent School District,TX,Bastrop County,,,boardbook,1914,True,True,
,Batesville School District,AR,Independence County,,,boardbook,3309,True,True,
,Bath Community Schools,MI,Clinton County,,,boardbook,3210,True,True,
,Battle Creek Public Schools,MI,Calhoun County,,,boardbook,2646,True,True,
,Bay City ISD,TX,Matagorda County,,,boardbook,2101,True,True,
,Bay-Arenac ISD,MI,Bay County,,,boardbook,909,True,True,
,Beaumont ISD,TX,Jefferson County,,,boardbook,748,True,True,
,Beaver County School District,UT,Beaver County,,,boardbook,3484,True,True,
,Beaverton School District,OR,Washington County,,,boardbook,1443,True,True,
,BECKER PUBLIC SCHOOLS,MN,Sherburne County,,,boardbook,1475,True,True,
,Beckville ISD,TX,Panola County,,,boardbook,1964,True,True,
,Bedford Public Schools,MI,Monroe County,,,boardbook,1618,True,True,
,Beeville ISD,TX,Bee County,,,boardbook,2183,True,True,
,Belcourt School District #7,ND,Rolette County,,,boardbook,2815,True,True,
,Belding Area Schools,MI,Ionia County,,,boardbook,1062,True,True,
,Belle Plaine Public Schools,MN,Scott County,,,boardbook,1400,True,True,
,Bells ISD,TX,Grayson County,,,boardbook,2225,True,True,
,Bellville ISD,TX,Austin County,,,boardbook,2334,True,True,
,Beloit USD 273,KS,,,,boardbook,2730,True,True,"live but NOT in the public BoardBook directory (probe sweep 2026-07-20, matched against the validated research list)"
,Belton Independent School District,TX,Bell County,,,boardbook,1873,True,True,
,Ben Bolt - Palito Blanco ISD,TX,Jim Wells County,,,boardbook,2197,True,True,
,Benavides ISD,TX,Duval County,,,boardbook,2230,True,True,
,Bend-La Pine Schools,OR,Deschutes County,,,boardbook,2413,True,True,
,Benjamin School District 25,IL,DuPage County,,,boardbook,1192,True,True,
,Benson Public Schools ISD #777,MN,Swift County,,,boardbook,1584,True,True,
,Benzie Central Schools,MI,Benzie County,,,boardbook,2367,True,True,
,Berrien RESA,MI,Berrien County,,,boardbook,1635,True,True,
,Berrien Springs Public Schools,MI,Berrien County,,,boardbook,1327,True,True,
,Berwyn North School District 98,IL,Cook County,,,boardbook,1719,True,True,
,Berwyn South School District 100,IL,Cook County,,,boardbook,1287,True,True,
,Bethalto CUSD #8,IL,Madison County,,,boardbook,1329,False,False,
,Big Lake Schools,MN,Sherburne County,,,boardbook,1761,True,True,
,Big Sandy ISD - Polk County,TX,Polk County,,,boardbook,2347,True,True,
,Big Sandy ISD-Upshur County,TX,Upshur County,,,boardbook,1918,True,True,
,Big Spring Independent School District,TX,Howard County,,,boardbook,723,True,True,
,Birch Run Area Schools,MI,Saginaw County,,,boardbook,1627,True,True,
,Birdville Independent School District,TX,Tarrant County,,,boardbook,2178,True,True,
,Bishop Consolidated Independent School District,TX,Nueces County,,,boardbook,2297,True,True,
,Bismarck-Henning CUSD #1,IL,Vermilion County,,,boardbook,1718,False,False,
,Bismarck-Henning/Rossville-Alvin Cooperative High School,IL,Vermilion County,,,boardbook,1963,True,True,
,Blachly School District,OR,Lane County,,,boardbook,2514,True,True,
,Blackwell Consolidated Independent School District,TX,Nolan County,,,boardbook,2113,True,True,
,Blanco ISD,TX,Blanco County,,,boardbook,1855,True,True,
,Bland ISD,TX,Hunt County,,,boardbook,2075,True,True,
,Blinn College - Brenham Regular,TX,Washington County,,,boardbook,1319,False,False,
,Bloomburg Independent School District,TX,Cass County,,,boardbook,2233,True,True,
,Bloomfield Public Schools,CT,Capitol Planning Region,,,boardbook,2463,True,True,
,Blooming Grove ISD,TX,Navarro County,,,boardbook,1348,True,True,
,Bloomingdale Public Schools,MI,Van Buren County,,,boardbook,3205,True,True,
,Bloomingdale School District 13,IL,DuPage County,,,boardbook,1261,True,True,
,Bloomington Independent School District,TX,Victoria County,,,boardbook,959,True,True,
,Blue Ridge CUSD #18,IL,De Witt County,,,boardbook,1708,False,False,
,Blue Ridge ISD,TX,Collin County,,,boardbook,845,True,True,
,Blue Valley USD 229,KS,,,,boardbook,3307,True,True,live but NOT in the public BoardBook directory (research pass 2026-07-20); mid-migration - also on boarddocs (ks/usd229)
,Bluff Dale ISD,TX,Erath County,,,boardbook,2721,True,True,
,Blum ISD,TX,Hill County,,,boardbook,2351,True,True,
,Boerne Independent School District,TX,Kendall County,,,boardbook,1350,True,True,
,BOLD Public Schools,MN,Renville County,,,boardbook,3004,True,True,
,Boles ISD,TX,Hunt County,,,boardbook,1301,True,True,
,Bonham ISD,TX,Fannin County,,,boardbook,866,True,True,
,Bonneville Joint School District 93,ID,Bonneville County,,,boardbook,1349,True,True,
,Borden County ISD,TX,Borden County,,,boardbook,1296,True,True,
,Borger ISD,TX,Hutchinson County,,,boardbook,904,True,True,
,Boscobel Area Schools,WI,Grant County,,,boardbook,2023,True,True,
,Bosqueville ISD,TX,McLennan County,,,boardbook,1003,True,True,
,Bowie Independent School District,TX,Montague County,,,boardbook,878,True,True,
,"Bowie-Cass Electric Cooperative, Inc.",TX,Cass County,,,boardbook,830,False,False,
,Box Elder School District,UT,Box Elder County,,,boardbook,1575,True,True,
,Boyceville Community School District,WI,Dunn County,,,boardbook,1606,True,True,
,Boyd ISD,TX,Wise County,,,boardbook,1611,True,True,
,Boyne City Public Schools,MI,Charlevoix County,,,boardbook,965,True,True,
,Boys Ranch ISD,TX,Oldham County,,,boardbook,697,True,True,
,Brackett ISD,TX,Kinney County,,,boardbook,1723,True,True,
,Brandon School District,MI,Oakland County,,,boardbook,1633,True,True,
,Brandywine Community Schools,MI,Berrien County,,,boardbook,1034,True,True,
,Brazosport College,TX,Brazoria County,,,boardbook,1854,False,False,
,Brazosport Independent School District,TX,Brazoria County,,,boardbook,877,True,True,
,Breckenridge ISD,TX,Stephens County,,,boardbook,1647,True,True,
,Breckenridge Public Schools 846,MN,Wilkin County,,,boardbook,1745,True,True,
,Brecksville-Broadview Heights City Schools,OH,Cuyahoga County,,,boardbook,3355,True,True,
,Breitung Township Schools,MI,Dickinson County,,,boardbook,3300,True,True,
,Bremond ISD,TX,Robertson County,,,boardbook,3269,True,True,
,Brenham ISD,TX,Washington County,,,boardbook,1856,True,True,
,Bridge City Independent School District,TX,Orange County,,,boardbook,905,True,True,
,Bridgeport ISD,TX,Wise County,,,boardbook,647,True,True,
,Bridgeport Public Schools,CT,Greater Bridgeport Planning Region,,,boardbook,2756,True,True,
,Bridgman Public Schools,MI,Berrien County,,,boardbook,1060,True,True,
,Brighton Area Schools,MI,Livingston County,,,boardbook,2615,True,True,
,Bristol Bay Borough School District,AK,Bristol Bay Borough,,,boardbook,2140,True,True,
,Broaddus ISD,TX,San Augustine County,,,boardbook,2228,True,True,
,Brock ISD,TX,Parker County,,,boardbook,803,True,True,
,Brookfield-LaGrange Park School District 95,IL,Cook County,,,boardbook,1715,True,True,
,Brookings-Harbor School District 17C,OR,Curry County,,,boardbook,1563,True,True,
,Brooklyn Center Schools,MN,Hennepin County,,,boardbook,1769,True,True,
,Brooks,TX,Bexar County,,,boardbook,2026,False,False,
,Brooks County ISD,TX,Brooks County,,,boardbook,2016,True,True,
,Brookwood School District 167,IL,Cook County,,,boardbook,1714,True,True,
,Brownfield ISD,TX,Terry County,,,boardbook,674,True,True,
,Browning Public Schools,MT,Glacier County,,,boardbook,2060,True,True,
,Brownsboro ISD,TX,Henderson County,,,boardbook,1273,True,True,
,Brownsville ISD,TX,Cameron County,,,boardbook,2175,True,True,
,Brownwood Independent School District,TX,Brown County,,,boardbook,988,True,True,
,Bryan Independent School District,TX,Brazos County,,,boardbook,2246,True,True,
,BSSD - Unalakleet,AK,Nome Census Area,,,boardbook,2110,False,False,
,Buckeye Union High School District,AZ,Maricopa County,,,boardbook,4071,True,True,
,Buckholts Independent School District,TX,Milam County,,,boardbook,2350,True,True,
,Buckley Schools,MI,Wexford County,,,boardbook,2599,True,True,
,Buena Vista ISD,TX,Pecos County,,,boardbook,712,True,True,
,Buffalo ISD,TX,Leon County,,,boardbook,2545,True,True,
,Buffalo-Hanover-Montrose Schools,MN,Wright County,,,boardbook,1209,True,True,
,Bullard Independent School District,TX,Cherokee County,,,boardbook,2490,True,True,
,Buna Independent School District,TX,Jasper County,,,boardbook,820,True,True,
,Burkburnett Independent School District,TX,Wichita County,,,boardbook,1896,True,True,
,Burkeville ISD,TX,Newton County,,,boardbook,1892,True,True,
,Burleson ISD,TX,Johnson County,,,boardbook,1384,True,True,
,Burlington USD 244,KS,,,,boardbook,3199,True,True,"live but NOT in the public BoardBook directory (probe sweep 2026-07-20, matched against the validated research list)"
,BURNET CONSOLIDATED I.S.D.,TX,Burnet County,,,boardbook,1041,True,True,
,Burnham School District 154.5,IL,Cook County,,,boardbook,2694,True,True,
,Burnsville-Eagan-Savage ISD 191,MN,Dakota County,,,boardbook,1113,True,True,
,Burton ISD,TX,Washington County,,,boardbook,2593,True,True,
,Bushland ISD,TX,Potter County,,,boardbook,1767,True,True,
,Bynum ISD,TX,Hill County,,,boardbook,2116,True,True,
,Byron Area Schools,MI,Shiawassee County,,,boardbook,1428,True,True,
,Byron Center Public Schools,MI,Kent County,,,boardbook,930,True,True,
,C.O.O.R. Intermediate School District,MI,Roscommon County,,,boardbook,1970,True,True,
,Caddo Mills ISD,TX,Hunt County,,,boardbook,669,True,True,
,Cahokia Unit School District 187,IL,St. Clair County,,,boardbook,1497,True,True,
,Calallen ISD,TX,Nueces County,,,boardbook,934,True,True,
,Caldwell ISD,TX,Burleson County,,,boardbook,680,True,True,
,Calhoun County ISD,TX,Calhoun County,,,boardbook,2207,True,True,
,Cambridge-Isanti Schools,MN,Isanti County,,,boardbook,1122,True,True,
,Cameron ISD,TX,Milam County,,,boardbook,1226,True,True,
,Canadian ISD,TX,Hemphill County,,,boardbook,789,True,True,
,Cannon Valley Special Education Cooperative,MN,Rice County,,,boardbook,1036,False,False,
,Canton ISD,TX,Van Zandt County,,,boardbook,2194,True,True,
,Canton Union School District #66,IL,Fulton County,,,boardbook,1679,True,True,
,Canutillo ISD,TX,El Paso County,,,boardbook,864,True,True,
,Canyon ISD,TX,Randall County,,,boardbook,788,True,True,
,Canyon-Owyhee School Service Agency,ID,Canyon County,,,boardbook,2093,True,True,
,Carbon Cliff - Barstow School District 36,IL,Rock Island County,,,boardbook,1712,True,True,
,Carlinville CUSD #1,IL,Macoupin County,,,boardbook,1720,False,False,
,Carlisle ISD,TX,Rusk County,,,boardbook,762,True,True,
,Carlton-Wrenshall ISD #2918,MN,Carlton County,,,boardbook,3411,True,True,
,Carmel Clay Public Library,IN,Hamilton County,,,boardbook,1885,False,False,
,Carrizo Springs C.I.S.D.,TX,Dimmit County,,,boardbook,861,True,True,
,Carrollton Public Schools,MI,Saginaw County,,,boardbook,2522,True,True,
,Carrollton-Farmers Branch ISD,TX,Dallas County,,,boardbook,631,True,True,
,Carson City-Crystal Area Schools,MI,Montcalm County,,,boardbook,1068,True,True,
,Carthage ISD,TX,Panola County,,,boardbook,1182,True,True,
,Cary School District 26,IL,McHenry County,,,boardbook,3361,True,True,
,Cascade School District #5,OR,Marion County,,,boardbook,1572,True,True,
,Cass City Public Schools,MI,Tuscola County,,,boardbook,2996,True,True,
,Cass School District 63,IL,DuPage County,,,boardbook,3890,True,True,
,Castleberry Independent School District,TX,Tarrant County,,,boardbook,1090,True,True,
,CCSD 89,IL,DuPage County,,,boardbook,1409,False,False,
,Cedar Hill ISD,TX,Dallas County,,,boardbook,1600,True,True,
,Cedar Springs Public Schools,MI,Kent County,,,boardbook,1484,True,True,
,Celeste ISD,TX,Hunt County,,,boardbook,1411,True,True,
,Celina Independent School District,TX,Collin County,,,boardbook,758,True,True,
,Centennial ISD 12,MN,Anoka County,,,boardbook,1528,True,True,
,Centennial School District,OR,Bucks County,,,boardbook,1561,True,True,
,Center Cass School District 66,IL,DuPage County,,,boardbook,1490,True,True,
,Center ISD,TX,Shelby County,,,boardbook,651,True,True,
,Center Point ISD,TX,Kerr County,,,boardbook,1923,True,True,
,Central CUSD 301,IL,Kane County,,,boardbook,1311,False,False,
,Central Heights Independent School District,TX,Nacogdoches County,,,boardbook,1517,True,True,
,Central ISD,TX,Angelina County,,,boardbook,2291,True,True,
,Central Point School District 6,OR,Jackson County,,,boardbook,1553,True,True,
,Central Public Schools,MN,Carver County,,,boardbook,2403,True,True,
,Central School District 104,IL,St. Clair County,,,boardbook,1243,True,True,
,Central School District 51,IL,Tazewell County,,,boardbook,1507,True,True,
,Centreville Public Schools,MI,St. Joseph County,,,boardbook,1989,True,True,
,Century School District 100,IL,Pulaski County,,,boardbook,2790,True,True,
,Channelview ISD,TX,Harris County,,,boardbook,791,True,True,
,Chanute USD 413,KS,,,,boardbook,2345,True,True,live but NOT in the public BoardBook directory (research pass 2026-07-20; name re-verified from live page title) - directory refreshes cannot discover it
,Chapel Hill ISD -Titus County,TX,Titus County,,,boardbook,1760,True,True,
,Chapel Hill ISD-Smith County,TX,Smith County,,,boardbook,1759,True,True,
,Charlevoix-Emmet ISD,MI,Charlevoix County,,,boardbook,2499,True,True,
,Charlotte Public Schools,MI,Eaton County,,,boardbook,1031,True,True,
,Chatham School District,AK,Hoonah-Angoon Census Area,,,boardbook,2647,True,True,
,Chautauqua County USD 286,KS,,,,boardbook,3313,True,True,"live but NOT in the public BoardBook directory (probe sweep 2026-07-20, matched against the validated research list)"
,Cheboygan Area Schools,MI,Cheboygan County,,,boardbook,3215,True,True,
,Chelsea School District,MI,Washtenaw County,,,boardbook,911,True,True,
,Cherokee Independent School District,TX,San Saba County,,,boardbook,1583,True,True,
,Chester ISD,TX,Tyler County,,,boardbook,2687,True,True,
,Cheylin USD 103,KS,,,,boardbook,2572,True,True,"live but NOT in the public BoardBook directory (probe sweep 2026-07-20, matched against the validated research list)"
,Chico ISD,TX,Wise County,,,boardbook,2255,True,True,
,Childress ISD,TX,Childress County,,,boardbook,2242,True,True,
,Chilton ISD,TX,Falls County,,,boardbook,1853,True,True,
,China Spring ISD,TX,McLennan County,,,boardbook,2238,True,True,
,Chisago Lakes School District 2144,MN,Chisago County,,,boardbook,1066,True,True,
,Chisholm School District,MN,St. Louis County,,,boardbook,840,True,True,
,Chisum ISD,TX,Lamar County,,,boardbook,2316,True,True,
,Christoval ISD,TX,Tom Green County,,,boardbook,1754,True,True,
,Chugach School District,AK,Anchorage Municipality,,,boardbook,2598,True,True,
,Churchill County School District,NV,Churchill County,,,boardbook,1197,True,True,
,Cicero School District 99,IL,Cook County,,,boardbook,1488,True,True,
,Circle USD 375,KS,,,,boardbook,3407,True,True,"live but NOT in the public BoardBook directory (probe sweep 2026-07-20, matched against the validated research list)"
,City of Hayden,ID,Kootenai County,,,boardbook,2366,False,False,
,City of Karnes City,TX,Karnes County,,,boardbook,3006,False,False,
,City of Ouray,CO,Ouray County,,,boardbook,2503,False,False,
,City of Stewartville,MN,Olmsted County,,,boardbook,2080,False,False,
,City Of Watford,ND,McKenzie County,,,boardbook,2633,False,False,
,City of Waverly,MN,Wright County,,,boardbook,694,False,False,
,City School District,TX,,,,boardbook,581,True,False,BoardBook demo/placeholder entity (fictional address) - not a real institution
,City School District 2,TX,,,,boardbook,3606,True,False,BoardBook demo/placeholder entity (fictional address) - not a real institution
,City View ISD,TX,Wichita County,,,boardbook,2280,True,True,
,Clackamas Community College,OR,Clackamas County,,,boardbook,1412,False,False,
,Clackamas Education Service District,OR,Clackamas County,,,boardbook,1547,False,False,
,Clarksville ISD,TX,Red River County,,,boardbook,731,True,True,
,Claude ISD,TX,Armstrong County,,,boardbook,1169,True,True,
,Clayton School District,WI,Barron County,,,boardbook,2057,True,True,
,Clear Creek ISD,TX,Galveston County,,,boardbook,1940,True,True,
,Cleburne Independent School District,TX,Johnson County,,,boardbook,1684,True,True,
,Cleveland ISD,TX,Liberty County,,,boardbook,1682,True,True,
,Cleveland Public School,MN,Le Sueur County,,,boardbook,2475,True,True,
,Clifton ISD,TX,Bosque County,,,boardbook,2177,True,True,
,Climax-Scotts Community Schools,MI,Kalamazoo County,,,boardbook,2506,True,True,
,Climax-Shelly ISD 592,MN,Polk County,,,boardbook,1831,True,True,
,Clint Independent School District,TX,El Paso County,,,boardbook,919,True,True,
,Clinton Community Schools,MI,Lenawee County,,,boardbook,3191,True,True,
,Clinton County RESA,MI,Clinton County,,,boardbook,2714,True,True,
,Clinton Public Schools,CT,Lower Connecticut River Valley Planning Region,,,boardbook,2467,True,True,
,Clio Area Schools,MI,Genesee County,,,boardbook,1481,True,True,
,Cloquet Public Schools,MN,Carlton County,,,boardbook,1149,True,True,
,Clyde CISD,TX,Callahan County,,,boardbook,661,True,True,
,Coahoma ISD,TX,Howard County,,,boardbook,984,True,True,
,Coastal Bend College,TX,Bee County,,,boardbook,2027,False,False,
,Coldspring-Oakhurst CISD,TX,San Jacinto County,,,boardbook,672,True,True,
,College of Lake County,IL,Lake County,,,boardbook,2575,False,False,
,College of Lake County Foundation,IL,Lake County,,,boardbook,3322,False,False,
,College of the Mainland,TX,Galveston County,,,boardbook,2271,False,False,
,Collin College,TX,Collin County,,,boardbook,1010,False,False,
,Collinsville CUSD #10,IL,Madison County,,,boardbook,1231,False,False,
,Collinsville ISD,TX,Grayson County,,,boardbook,2262,True,True,
,Colorado ISD,TX,Mitchell County,,,boardbook,2243,True,True,
,Columbia - Brazoria ISD,TX,Brazoria County,,,boardbook,1290,True,True,
,Columbia Heights Public Schools,MN,Anoka County,,,boardbook,1211,True,True,
,Columbus Independent School District,TX,Colorado County,,,boardbook,1798,True,True,
,Comal ISD,TX,Comal County,,,boardbook,1083,True,True,
,Comanche ISD,TX,Comanche County,,,boardbook,664,True,True,
,Comfort ISD,TX,Kendall County,,,boardbook,652,True,True,
,Commerce ISD,TX,Hunt County,,,boardbook,1127,True,True,
,Community Consolidated School District 180,IL,DuPage County,,,boardbook,1514,True,True,
,Community Consolidated School District 59,IL,Cook County,,,boardbook,2677,True,True,
,Community Consolidated School District 93,IL,DuPage County,,,boardbook,1266,True,True,
,Community High School District 128,IL,Lake County,,,boardbook,3238,True,True,
,Community High School District 218,IL,Cook County,,,boardbook,1717,True,True,
,Community High School District 94,IL,DuPage County,,,boardbook,1499,True,True,
,Community ISD,TX,Collin County,,,boardbook,1208,True,True,
,Community Unit School District 300,IL,McHenry County,,,boardbook,1453,True,True,
,Como-Pickton CISD,TX,Hopkins County,,,boardbook,2314,True,True,
,Compass Academy Charter School,TX,Ector County,,,boardbook,3324,True,True,
,Comstock Public Schools,MI,Kalamazoo County,,,boardbook,1037,True,True,
,Concept Schools - Horizon Science Academy Twin Cities,MN,Hennepin County,,,boardbook,2626,True,True,
,Concept Schools - Minnesota Math and Science Academy,MN,Ramsey County,,,boardbook,2355,True,True,
,Concord Community Schools,MI,Jackson County,,,boardbook,1623,True,True,
,Concordia USD 333,KS,,,,boardbook,2410,True,True,"live but NOT in the public BoardBook directory (probe sweep 2026-07-20, matched against the validated research list)"
,Connally ISD,TX,McLennan County,,,boardbook,690,True,True,
,Constantine Public Schools,MI,St. Joseph County,,,boardbook,2392,True,True,
,Consumer Bankers Association,DC,District of Columbia,,,boardbook,2031,False,False,
,Cook County Land Bank Authority,IL,Cook County,,,boardbook,3902,False,False,
,Cook County School District 104,IL,Cook County,,,boardbook,1792,True,True,
,Cooper ISD,TX,Delta County,,,boardbook,2277,True,True,
,Coppell Independent School District,TX,Dallas County,,,boardbook,1721,True,True,
,Copper Country ISD,MI,Houghton County,,,boardbook,2693,True,True,
,Copperas Cove Independent School District,TX,Coryell County,,,boardbook,665,True,True,
,Corbett School District,OR,Multnomah County,,,boardbook,1554,True,True,
,Cordova School District,AK,Chugach Census Area,,,boardbook,2046,True,True,
,CORPUS CHRISTI INDEPENDENT SCHOOL DISTRICT,TX,Nueces County,,,boardbook,898,True,True,
,Corrigan-Camden ISD,TX,Polk County,,,boardbook,1701,True,True,
,Corsicana Independent School District,TX,Navarro County,,,boardbook,642,True,True,
,Corunna Public Schools,MI,Shiawassee County,,,boardbook,1522,True,True,
,Corvallis School District 509J,OR,Benton County,,,boardbook,1216,True,True,
,Cotulla ISD,TX,La Salle County,,,boardbook,638,True,True,
,County School District,TX,,,,boardbook,582,True,False,BoardBook demo/placeholder entity (fictional address) - not a real institution
,County School District 2,TX,,,,boardbook,618,True,False,BoardBook demo/placeholder entity (fictional address) - not a real institution
,County School District 3,TX,,,,boardbook,2596,True,False,BoardBook demo/placeholder entity (fictional address) - not a real institution
,County School District 4,TX,,,,boardbook,3900,True,False,BoardBook demo/placeholder entity (fictional address) - not a real institution
,County School District TEST,,,,,boardbook,2722,True,True,
,Coupland Independent School District,TX,Williamson County,,,boardbook,2708,True,True,
,Coventry Board of Education,CT,Capitol Planning Region,,,boardbook,2424,False,False,
,Covert Public Schools,MI,Van Buren County,,,boardbook,1506,True,True,
,Covington ISD,TX,Hill County,,,boardbook,1930,True,True,
,Craig City School District,AK,Prince of Wales-Hyder Census Area,,,boardbook,1845,True,True,
,Crandall ISD,TX,Kaufman County,,,boardbook,2100,True,True,
,Cranfills Gap ISD,TX,Bosque County,,,boardbook,1866,True,True,
,Crawford ISD,TX,McLennan County,,,boardbook,2983,True,True,
,Crestwood School District,MI,Wayne County,,,boardbook,1521,True,True,
,Creswell School District,OR,Lane County,,,boardbook,1558,True,True,
,Crete-Monee Board of Education,IL,Will County,,,boardbook,1408,False,False,
,Crockett County Consolidated Common School District,TX,Crockett County,,,boardbook,857,True,True,
,Crockett Independent School District,TX,Houston County,,,boardbook,891,True,True,
,Cromwell-Wright School,MN,Carlton County,,,boardbook,1822,True,True,
